date,symbol,open,high,low,close,volumefrom,volumeto,return_close_pct,return_close_log,sma_7,sma_14,sma_30,ema_7,ema_14,volatility_7,volatility_30,bb_upper_20,bb_lower_20,rsi_14
2020-06-18,BNB,16.36,16.37,16.07,16.13,811526.34,13089100.22,,,,,,16.13,16.13,,,,,
2020-06-19,BNB,16.13,22.02,15.91,15.96,776547.8,12396776.46,-0.01053936763794161,-0.010595300115454672,,,,16.0875,16.107333333333333,,,,,
2020-06-20,BNB,15.96,16.09,15.85,16.07,725061.21,11653659.26,0.006892230576441172,0.00686858772775858,,,,16.083125,16.102355555555555,,,,,
2020-06-21,BNB,16.07,16.17,15.84,15.93,598282.76,9533294.88,-0.008711885500933492,-0.008750055827464137,,,,16.04484375,16.079374814814813,,,,,
2020-06-22,BNB,15.93,17.13,16.23,16.49,718364.38,11842960.92,0.035153797865662195,0.0345500126495503,,,,16.156132812499997,16.13412483950617,,,,,
2020-06-23,BNB,16.51,16.44,16.3,16.39,682139.82,11180396.41,-0.006064281382656023,-0.006082743815769084,,,,16.214599609375,16.168241527572015,,,,,
2020-06-24,BNB,16.39,16.21,15.79,15.99,873778.38,13974468.47,-0.02440512507626602,-0.02470786590987546,16.137142857142855,,,16.15844970703125,16.144475990562412,,,,,
2020-06-25,BNB,15.99,16.02,15.86,15.9,665242.24,10580219.95,-0.0056285178236397115,-0.005644417619676958,16.104285714285716,,,16.093837280273437,16.11187919182076,0.01861709234200122,,,,
2020-06-26,BNB,15.9,15.84,15.62,15.76,547186.96,8624234.73,-0.008805031446540879,-0.008844024796452772,16.075714285714287,,,16.01037796020508,16.06496196624466,0.018494508826280776,,,,
2020-06-27,BNB,15.76,15.56,15.06,15.12,917967.26,13882407.91,-0.040609137055837574,-0.041456713678346135,15.94,,,15.78778347015381,15.93896703741204,0.02315177219761365,,,,
2020-06-28,BNB,15.12,15.43,15.12,15.39,1294630.96,19919318.73,0.017857142857143016,0.017699577099401075,15.862857142857141,,,15.688337602615357,15.865771432423768,0.025210092788602975,,,,
2020-06-29,BNB,15.39,15.67,15.41,15.48,1171921.58,18141595.62,0.005847953216374213,0.005830920310793144,15.718571428571428,,,15.63625320196152,15.814335241433934,0.019376908742579593,,,,
2020-06-30,BNB,15.48,15.46,15.32,15.4,1278246.28,19690218.72,-0.0051679586563307955,-0.005181358741997629,15.577142857142858,,,15.577189901471138,15.759090542576075,0.0194027317051758,,,,
2020-07-01,BNB,15.4,15.93,15.52,15.83,1114770.27,17642597.95,0.027922077922077904,0.027539364473337286,15.554285714285715,15.845714285714285,,15.640392426103354,15.768545136899267,0.022161622348395103,,,,
2020-07-02,BNB,15.83,15.71,15.28,15.37,1071885.51,16471484.56,-0.029058749210360113,-0.029489316342416326,15.478571428571428,15.791428571428572,,15.572794319577515,15.715405785312699,0.02461315877924743,,,,39.67391289254489
